ID,Age,Gender,Education,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Drugs Tested,Legal Drugs,Illegal Drugs
1,2.0,1.0,5.0,0.31287,-0.57545,-0.58331,-0.91699,-0.00665,-0.21712,-1.18084,6.0,4.0,2.0
2,1.0,0.0,8.0,-0.67825,1.93886,1.43533,0.76096,-0.14277,-0.71126,-0.21575,12.0,4.0,8.0
3,2.0,0.0,5.0,-0.46725,0.80523,-0.84732,-1.6209,-1.0145,-1.37983,0.40148,5.0,3.0,2.0
4,0.0,1.0,7.0,-0.14882,-0.80615,-0.01928,0.59042,0.58489,-1.37983,-1.18084,8.0,4.0,4.0
5,2.0,1.0,8.0,0.73545,-1.6334,-0.45174,-0.30172,1.30612,-0.21712,-0.21575,10.0,4.0,6.0
6,5.0,1.0,3.0,-0.67825,-0.30033,-1.55521,2.03972,1.63088,-1.37983,-1.54858,4.0,4.0,0.0
7,3.0,0.0,7.0,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,-0.21712,0.07987,5.0,4.0,1.0
8,2.0,0.0,1.0,-1.32828,1.93886,-0.84732,-0.30172,1.63088,0.19268,-0.52593,3.0,3.0,0.0
9,2.0,1.0,5.0,0.62967,2.57309,-0.97631,0.76096,1.13407,-1.37983,-1.54858,4.0,4.0,0.0
10,4.0,0.0,7.0,-0.24649,0.00332,-1.42424,0.59042,0.12331,-1.37983,-0.84637,7.0,4.0,3.0
11,1.0,1.0,6.0,-1.05308,0.80523,-1.11902,-0.76096,1.81175,0.19268,0.07987,8.0,4.0,3.0
12,3.0,0.0,4.0,-1.32828,0.00332,0.14143,-1.92595,-0.52745,0.52975,1.2247,10.0,4.0,6.0
13,4.0,1.0,6.0,2.28554,0.16767,0.44585,-1.6209,-0.78155,1.29221,0.07987,11.0,4.0,7.0
14,4.0,1.0,5.0,-0.79151,0.80523,-0.01928,0.94156,3.46436,-0.71126,-0.84637,3.0,3.0,0.0
15,4.0,1.0,5.0,-0.92104,1.45421,0.44585,-0.60633,1.63088,1.29221,0.7654,4.0,4.0,0.0
16,4.0,0.0,6.0,-2.05048,-1.50796,-1.55521,-1.07533,1.13407,-0.71126,-0.52593,8.0,3.0,5.0
17,2.0,1.0,4.0,-1.55078,-0.80615,-1.68062,0.28783,0.7583,-0.21712,-2.07848,6.0,4.0,2.0
18,3.0,0.0,1.0,0.52135,-1.23177,-0.31776,-0.45321,-1.38502,-1.37983,-0.84637,12.0,4.0,8.0
